code_wilaya,nom_wilaya,code_commune,nom_commune,nom_commune_ar,daira,daira_ar
3,Laghouat,304,Sidi Makhlouf,سيدي مخلوف,Sidi Makhlouf,سيدي مخلوف
3,Laghouat,305,Hassi Delaa,حاسي الدلاعة,Hassi R'mel,حاسي الرمل
3,Laghouat,306,Hassi R'mel,حاسي الرمل,Hassi R'mel,حاسي الرمل
3,Laghouat,307,Ain Madhi,عين ماضي,Ain Madhi,عين ماضي
3,Laghouat,323,El Haouaita,الحويطة,Ain Madhi,عين ماضي
3,Laghouat,309,Kheneg,الخنق,Ain Madhi,عين ماضي
3,Laghouat,303,Benacer Benchohra,بن ناصر بن شهرة,Ksar El Hirane,قصر الحيران
4,Oum El Bouaghi,416,Fkirina,فكيرينة,F'kirina,فكيرينة
4,Oum El Bouaghi,419,El Fedjoudj Boughrara Sa,الفجوج بوغرارة سعودي,Ain Fekroun,عين فكرون
4,Oum El Bouaghi,425,Ain Fekroun,عين فكرون,Ain Fekroun,عين فكرون
4,Oum El Bouaghi,426,Rahia,الرحية,Meskiana,مسكيانة
4,Oum El Bouaghi,424,Meskiana,مسكيانة,Meskiana,مسكيانة
4,Oum El Bouaghi,407,El Belala,البلالة,Meskiana,مسكيانة
4,Oum El Bouaghi,404,Behir Chergui,بحير الشرقي,Meskiana,مسكيانة
4,Oum El Bouaghi,422,Ksar Sbahi,قصر الصباحي,Ksar Sbahi,قصر الصباحي
4,Oum El Bouaghi,417,Souk Naamane,سوق نعمان,Souk Naamane,سوق نعمان
4,Oum El Bouaghi,420,Ouled Zouai,أولاد زواي,Souk Naamane,سوق نعمان
4,Oum El Bouaghi,401,Oum El Bouaghi,أم البواقي,Oum El Bouaghi,أم البواقي
4,Oum El Bouaghi,408,Ain Babouche,عين ببوش,Ain Babouche,عين ببوش
4,Oum El Bouaghi,427,Ain Zitoun,عين الزيتون,Oum El Bouaghi,أم البواقي
4,Oum El Bouaghi,421,Bir Chouhada,بئر الشهداء,Souk Naamane,سوق نعمان
4,Oum El Bouaghi,402,Ain Beida,عين البيضاء,Ain Beida,عين البيضاء
4,Oum El Bouaghi,409,Berriche,بريش,Ain Beida,عين البيضاء
4,Oum El Bouaghi,418,Zorg,الزرق,Ain Beida,عين البيضاء
4,Oum El Bouaghi,403,Ain M'lila,عين مليلة,Ain M'lila,عين مليلة
4,Oum El Bouaghi,428,Ouled Gacem,أولاد قاسم,Ain M'lila,عين مليلة
4,Oum El Bouaghi,410,Ouled Hamla,أولاد حملة,Ain M'lila,عين مليلة
4,Oum El Bouaghi,405,El Amiria,العامرية,Sigus,سيقوس
4,Oum El Bouaghi,406,Sigus,سيقوس,Sigus,سيقوس
4,Oum El Bouaghi,423,Oued Nini,وادي نيني,F'kirina,فكيرينة
4,Oum El Bouaghi,415,Ain Diss,عين الديس,Ain Babouche,عين ببوش
4,Oum El Bouaghi,411,Dhalaa,الضلعة,Dhalaa,الضلعة
4,Oum El Bouaghi,414,El Djazia,الجازية,Dhalaa,الضلعة
4,Oum El Bouaghi,412,Ain Kercha,عين كرشة,Ain Kercha,عين كرشة
4,Oum El Bouaghi,429,El Harmilia,الحرملية,Ain Kercha,عين كرشة
4,Oum El Bouaghi,413,Hanchir Toumghani,هنشير تومغني,Ain Kercha,عين كرشة
5,Batna,503,Maafa,معافة,Ain Touta,عين التوتة
5,Batna,539,Gosbat,القصبات,Ras El Aioun,رأس العيون
5,Batna,550,Timgad,تيمقاد,Timgad,تيمقاد
5,Batna,538,Taxlent,تاكسلانت,Ouled Si Slimane,أولاد سي سليمان
5,Batna,553,Ouled Si Slimane,أولاد سي سليمان,Ouled Si Slimane,أولاد سي سليمان
5,Batna,527,Lemcene,لمسان,Ouled Si Slimane,أولاد سي سليمان
5,Batna,534,Talkhamt,تالخمت,Ras El Aioun,رأس العيون
5,Batna,551,Ras El Aioun,رأس العيون,Ras El Aioun,رأس العيون
5,Batna,525,Rahbat,الرحبات,Ras El Aioun,رأس العيون
5,Batna,520,Ouled Sellem,أولاد سلام,Ras El Aioun,رأس العيون
5,Batna,510,Guigba,القيقبة,Ras El Aioun,رأس العيون
5,Batna,547,Teniet El Abed,ثنية العابد,Theniet El Abed,ثنية العابد
5,Batna,501,Batna,باتنة,Batna,باتنة
5,Batna,523,Fesdis,فسديس,Batna,باتنة
5,Batna,537,Oued Chaaba,وادي الشعبة,Batna,باتنة
5,Batna,546,Hidoussa,حيدوسة,Merouana,مروانة
5,Batna,528,Ksar Bellezma,قصر بلزمة,Merouana,مروانة
5,Batna,504,Merouana,مروانة,Merouana,مروانة
5,Batna,533,Oued El Ma,وادي الماء,Merouana,مروانة
5,Batna,558,Lazrou,لازرو,Seriana,سريانة
5,Batna,505,Seriana,سريانة,Seriana,سريانة
5,Batna,554,Zanet El Beida,زانة البيضاء,Seriana,سريانة
5,Batna,506,Menaa,منعة,Menaa,منعة
5,Batna,521,Tigharghar,تغرغار,Menaa,منعة
5,Batna,522,Ain Yagout,عين ياقوت,El Madher,المعذر
5,Batna,559,Boumia,بومية,El Madher,المعذر
5,Batna,513,Djerma,جرمة,El Madher,المعذر
5,Batna,507,El Madher,المعذر,El Madher,المعذر
5,Batna,512,Ouyoun El Assafir,عيون العصافير,Tazoult,تازولت
5,Batna,508,Tazoult,تازولت,Tazoult,تازولت
5,Batna,541,Boumagueur,بومقر,N'gaous,نقاوس
5,Batna,509,N Gaous,نقاوس,N'gaous,نقاوس
5,Batna,524,Sefiane,سفيان,N'gaous,نقاوس
5,Batna,516,Arris,أريس,Arris,أريس
5,Batna,526,Tighanimine,تيغانمين,Arris,أريس
5,Batna,519,Ain Djasser,عين جاسر,Ain Djasser,عين جاسر
5,Batna,557,El Hassi,الحاسي,Ain Djasser,عين جاسر
5,Batna,531,Foum Toub,فم الطوب,Ichemoul,إشمول
5,Batna,530,Ichemoul,إشمول,Ichemoul,إشمول
5,Batna,511,Inoughissen,إينوغيسن,Ichemoul,إشمول
5,Batna,535,Bouzina,بوزينة,Bouzina,بوزينة
5,Batna,561,Larbaa,لارباع,Bouzina,بوزينة
5,Batna,560,Boulhilat,بولهيلات,Chemora,الشمرة
5,Batna,536,Chemora,الشمرة,Chemora,الشمرة
5,Batna,502,Ghassira,غسيرة,Tkout,تكوت
5,Batna,517,Kimmel,كيمل,Tkout,تكوت
5,Batna,544,T Kout,تكوت,Tkout,تكوت
5,Batna,545,Ain Touta,عين التوتة,Ain Touta,عين التوتة
5,Batna,532,Beni Foudhala El Hakania,بني فضالة الحقانية,Ain Touta,عين التوتة
5,Batna,549,Ouled Fadel,أولاد فاضل,Timgad,تيمقاد
5,Batna,540,Ouled Aouf,أولاد عوف,Ain Touta,عين التوتة
5,Batna,552,Chir,شير,Theniet El Abed,ثنية العابد
5,Batna,548,Oued Taga,وادي الطاقة,Theniet El Abed,ثنية العابد
6,Béjaïa,621,Sidi Ayad,سيدي عياد,Sidi Aich,سيدي عيش
6,Béjaïa,634,Barbacha,برباشة,Barbacha,برباشة
6,Béjaïa,643,Leflaye,الفلاي,Sidi Aich,سيدي عيش
6,Béjaïa,613,Kendira,كنديرة,Barbacha,برباشة
6,Béjaïa,639,Sidi-Aich,سيدي عيش,Sidi Aich,سيدي عيش
6,Béjaïa,614,Tifra,تيفرة,Sidi Aich,سيدي عيش
6,Béjaïa,610,Tinebdar,تينبدار,Sidi Aich,سيدي عيش
6,Béjaïa,640,El Kseur,القصر,El Kseur,القصر
6,Béjaïa,618,Fenaia Il Maten,فناية الماثن,El Kseur,القصر
6,Béjaïa,619,Toudja,توجة,El Kseur,القصر
6,Béjaïa,645,Dra El Caid,ذراع القايد,Kherrata,خراطة
6,Béjaïa,644,Kherrata,خراطة,Kherrata,خراطة
6,Béjaïa,601,Bejaia,بجاية,Bejaia,بجاية
6,Béjaïa,651,Oued Ghir,وادي غير,Bejaia,بجاية
6,Béjaïa,650,Benimaouche,بني معوش,Beni Maouche,بني معوش
6,Béjaïa,623,Beni Djellil,بني جليل,Amizour,أميزور
6,Béjaïa,603,Feraoun,فرعون,Amizour,أميزور
6,Béjaïa,612,Smaoun,سمعون,Amizour,أميزور
6,Béjaïa,607,Timezrit,تيمزريت,Timezrit,تيمزريت
6,Béjaïa,641,Melbou,مالبو,Souk El Tenine,سوق الإثنين
6,Béjaïa,608,Souk El Tenine,سوق لإثنين,Souk El Tenine,سوق الإثنين
6,Béjaïa,646,Tamridjet,تامريجت,Souk El Tenine,سوق الإثنين
6,Béjaïa,648,Boukhelifa,بوخليفة,Tichy,تيشي
6,Béjaïa,633,Tala Hamza,تالة حمزة,Tichy,تيشي
6,Béjaïa,611,Tichy,تيشي,Tichy,تيشي
6,Béjaïa,628,Ait R'zine,أيت رزين,Ighil Ali,إغيل علي
6,Béjaïa,617,Ighil-Ali,إغيل علي,Ighil Ali,إغيل علي
6,Béjaïa,647,Ait-Smail,أيت إسماعيل,Darguina,درقينة
6,Béjaïa,620,Darguina,درقينة,Darguina,درقينة
6,Béjaïa,631,Taskriout,تاسكريوت,Darguina,درقينة
6,Béjaïa,622,Aokas,أوقاس,Aokas,أوقاس
6,Béjaïa,649,Tizi-N'berber,تيزي نبربر,Aokas,أوقاس
6,Béjaïa,624,Adekar,أدكار,Adekar,أدكار
6,Béjaïa,635,Beni K'sila,بني كسيلة,Adekar,أدكار
6,Béjaïa,604,Taourit Ighil,تاوريرت إغيل,Adekar,أدكار
6,Béjaïa,625,Akbou,أقبو,Akbou,أقبو
6,Béjaïa,605,Chellata,شلاطة,Akbou,أقبو
6,Béjaïa,615,Ighram,اغرم,Akbou,أقبو
6,Béjaïa,606,Tamokra,تامقرة,Akbou,أقبو
6,Béjaïa,616,Amalou,أمالو,Seddouk,صدوق
6,Béjaïa,637,Bouhamza,بوحمزة,Seddouk,صدوق
6,Béjaïa,609,M'cisna,مسيسنة,Seddouk,صدوق
6,Béjaïa,626,Seddouk,صدوق,Seddouk,صدوق
6,Béjaïa,638,Beni-Mallikeche,بني مليكش,Tazmalt,تازملت
6,Béjaïa,652,Boudjellil,بو جليل,Tazmalt,تازملت
6,Béjaïa,627,Tazmalt,تازمالت,Tazmalt,تازملت
6,Béjaïa,642,Akfadou,أكفادو,Chemini,شميني
6,Béjaïa,629,Chemini,شميني,Chemini,شميني
6,Béjaïa,630,Souk Oufella,سوق اوفلا,Chemini,شميني
6,Béjaïa,632,Tibane,طيبان,Chemini,شميني
6,Béjaïa,636,Ouzellaguen,أوزلاقن,Ifri Ouzellaguene,إفري أوزلاقن
6,Béjaïa,602,Amizour,أميزور,Amizour,أميزور
7,Biskra,716,El Feidh,الفيض,Zeribet El Oued,زريبة الوادي
7,Biskra,723,Lichana,ليشانة,Tolga,طولقة
7,Biskra,729,Bouchakroun,بوشقرون,Tolga,طولقة
7,Biskra,730,Mekhadma,مخادمة,Ourlal,أورلال
7,Biskra,733,Khenguet Sidi Nadji,خنقة سيدي ناجي,Zeribet El Oued,زريبة الوادي
7,Biskra,715,Zeribet El Oued,زريبة الوادي,Zeribet El Oued,زريبة الوادي
7,Biskra,728,Meziraa,المزيرعة,Zeribet El Oued,زريبة الوادي
7,Biskra,701,Biskra,بسكرة,Biskra,بسكرة
7,Biskra,732,El Hadjab,الحاجب,Biskra,بسكرة
7,Biskra,725,M'lili,مليلي,Ourlal,أورلال
7,Biskra,726,Foughala,فوغالة,Foughala,فوغالة
7,Biskra,731,El Ghrous,الغروس,Foughala,فوغالة
7,Biskra,727,Bordj Ben Azzouz,برج بن عزوز,Tolga,طولقة
7,Biskra,724,Ourlal,أورلال,Ourlal,أورلال
7,Biskra,702,Oumache,أوماش,Ourlal,أورلال
7,Biskra,714,Ain Naga,عين الناقة,Sidi Okba,سيدي عقبة
7,Biskra,704,Chetma,شتمة,Sidi Okba,سيدي عقبة
7,Biskra,713,El Haouch,الحوش,Sidi Okba,سيدي عقبة
7,Biskra,711,Sidi Okba,سيدي عقبة,Sidi Okba,سيدي عقبة
7,Biskra,712,M'chouneche,مشونش,Mechouneche,مشونش
7,Biskra,722,Lioua,ليوة,Ourlal,أورلال
7,Biskra,721,Tolga,طولقة,Tolga,طولقة
8,Béchar,801,Bechar,بشار,Bechar,بشار
8,Béchar,815,Boukais,بوكايس,Lahmar,لحمر
8,Béchar,806,Lahmar,لحمر,Lahmar,لحمر
8,Béchar,816,Mogheul,موغل,Lahmar,لحمر
8,Béchar,804,Meridja,المريجة,Kenadsa,القنادسة
8,Béchar,813,Taghit,تاغيت,Taghit,تاغيت
8,Béchar,817,Abadla,العبادلة,Abadla,العبادلة
8,Béchar,802,Erg-Ferradj,عرق فراج,Abadla,العبادلة
8,Béchar,809,Machraa-Houari-Boumediene,مشرع هواري بومدين,Abadla,العبادلة
8,Béchar,821,Beni-Ounif,بني ونيف,Beni Ounif,بني ونيف
8,Béchar,812,Tabelbala,تبلبالة,Tabelbala,تبلبالة
8,Béchar,810,Kenadsa,القنادسة,Kenadsa,القنادسة
9,Blida,921,Beni Mered,بني مراد,Ouled Yaich,أولاد يعيش
9,Blida,915,Ouled Slama,اولاد سلامة,Bougara,بوقرة
9,Blida,912,Mouzaia,موزاية,Mouzaia,موزاية
9,Blida,909,Hammam Elouane,حمام ملوان,Bougara,بوقرة
9,Blida,922,Bougara,بوقرة,Bougara,بوقرة
9,Blida,913,Souhane,صوحان,Larbaa,الأربعاء
9,Blida,917,Larbaa,الأربعاء,Larbaa,الأربعاء
9,Blida,911,Soumaa,الصومعة,Boufarik,بوفاريك
9,Blida,923,Guerrouaou,قرواو,Boufarik,بوفاريك
9,Blida,916,Boufarik,بوفاريك,Boufarik,بوفاريك
9,Blida,914,Meftah,مفتاح,Meftah,مفتاح
9,Blida,908,Chiffa,الشفة,Mouzaia,موزاية
9,Blida,924,Ain Romana,عين الرمانة,Mouzaia,موزاية
9,Blida,918,Oued Djer,وادي جر,El Affroun,العفرون
9,Blida,907,El-Affroun,العفرون,El Affroun,العفرون
9,Blida,905,Ouled Yaich,أولاد يعيش,Ouled Yaich,أولاد يعيش
9,Blida,906,Chrea,الشريعة,Ouled Yaich,أولاد يعيش
9,Blida,925,Djebabra,جبابرة,Meftah,مفتاح
9,Blida,904,Oued El Alleug,وادي العلايق,Oued El Alleug,وادي العلايق
9,Blida,910,Benkhelil,بن خليل,Oued El Alleug,وادي العلايق
9,Blida,919,Beni-Tamou,بني تامو,Oued El Alleug,وادي العلايق
9,Blida,902,Chebli,الشبلي,Bouinan,بوعينان
9,Blida,903,Bouinan,بوعينان,Bouinan,بوعينان
9,Blida,920,Bouarfa,بوعرفة,Blida,البليدة
9,Blida,901,Blida,البليدة,Blida,البليدة
10,Bouira,1041,Ain Laloui,عين العلوي,Ain Bessem,عين بسام
10,Bouira,1042,Hadjera Zerga,الحجرة الزرقاء,Bordj Okhriss,برج أوخريص
10,Bouira,1011,Mezdour,مزدور,Bordj Okhriss,برج أوخريص
10,Bouira,1028,Taguedite,تاقديت,Bordj Okhriss,برج أوخريص
10,Bouira,1032,Ridane,ريدان,Sour El Ghozlane,سور الغزلان
10,Bouira,1039,Maamora,المعمورة,Sour El Ghozlane,سور الغزلان
10,Bouira,1020,El-Hakimia,الحاكمية,Sour El Ghozlane,سور الغزلان
10,Bouira,1022,Ahl El Ksar,أهل القصر,Bechloul,بشلول
10,Bouira,1007,Dirah,ديرة,Sour El Ghozlane,سور الغزلان
10,Bouira,1031,Dechmia,الدشمية,Sour El Ghozlane,سور الغزلان
10,Bouira,1033,Bechloul,بشلول,Bechloul,بشلول
10,Bouira,1043,Ath Mansour,آث منصور,M'chedallah,مشد الله
10,Bouira,1030,Saharidj,سحاريج,M'chedallah,مشد الله
10,Bouira,1019,El Adjiba,العجيبة,Bechloul,بشلول
10,Bouira,1002,El Asnam,الأسنام,Bechloul,بشلول
10,Bouira,1037,M Chedallah,أمشدالة,M'chedallah,مشد الله
10,Bouira,1018,Bordj Okhriss,برج أوخريص,Bordj Okhriss,برج أوخريص
10,Bouira,1038,Sour El Ghozlane,سور الغزلان,Sour El Ghozlane,سور الغزلان
10,Bouira,1006,Hanif,حنيف,M'chedallah,مشد الله
10,Bouira,1017,Chorfa,شرفة,M'chedallah,مشد الله
10,Bouira,1040,Ouled Rached,أولاد راشد,Bechloul,بشلول
10,Bouira,1025,Ain El Hadjar,عين الحجر,Ain Bessem,عين بسام
10,Bouira,1027,Aghbalou,أغبالو,M'chedallah,مشد الله
10,Bouira,1010,Raouraoua,روراوة,Bir Ghbalou,بئر غبالو
10,Bouira,1021,El Khabouzia,الخبوزية,Bir Ghbalou,بئر غبالو
10,Bouira,1036,Bir Ghbalou,بئر غبالو,Bir Ghbalou,بئر غبالو
10,Bouira,1001,Bouira,البويرة,Bouira,البويرة
10,Bouira,1029,Ain Turk,عين الترك,Bouira,البويرة
10,Bouira,1008,Ait Laaziz,أيت لعزيز,Bouira,البويرة
10,Bouira,1035,Ain-Bessem,عين بسام,Ain Bessem,عين بسام
10,Bouira,1044,El-Mokrani,المقراني,Souk El Khemis,سوق الخميس
10,Bouira,1004,Souk El Khemis,سوق الخميس,Souk El Khemis,سوق الخميس
10,Bouira,1016,Aomar,أعمر,Kadiria,القادرية
10,Bouira,1026,Djebahia,جباحية,Kadiria,القادرية
10,Bouira,1015,El Hachimia,الهاشمية,El Hachimia,الهاشمية
10,Bouira,1012,Haizer,حيزر,Haizer,الحيزر
10,Bouira,1009,Taghzout,تاغزوت,Haizer,الحيزر
10,Bouira,1023,Bouderbala,بودربالة,Lakhdaria,الأخضرية
10,Bouira,1034,Boukram,بوكرم,Lakhdaria,الأخضرية
10,Bouira,1003,Guerrouma,قرومة,Lakhdaria,الأخضرية
10,Bouira,1013,Lakhdaria,الأخضرية,Lakhdaria,الأخضرية
10,Bouira,1014,Maala,معلة,Lakhdaria,الأخضرية
10,Bouira,1005,Kadiria,قادرية,Kadiria,القادرية
10,Bouira,1024,Z'barbar (El Isseri ),زبربر,Lakhdaria,الأخضرية
10,Bouira,1045,Oued El Berdi,وادي البردي,El Hachimia,الهاشمية
11,Tamanrasset,1106,Tazrouk,تاظروك,Tazrouk,تاظروك
11,Tamanrasset,1102,Abelsa,ابلسة,Silet,سيلت
11,Tamanrasset,1101,Tamanrasset,تمنراست,Tamanrasset,تمنراست
11,Tamanrasset,1109,Ain Amguel,عين امقل,Tamanrasset,تمنراست
11,Tamanrasset,1105,Idles,أدلس,Tazrouk,تاظروك
12,Tébessa,1206,El-Houidjbet,الحويجبات,El Malabiod,الماء الابيض
12,Tébessa,1205,El-Aouinet,العوينات,El Aouinet,العوينات
12,Tébessa,1210,Bir Mokkadem,بئر مقدم,Bir Mokadem,بئر مقدم
12,Tébessa,1214,Bir Dheheb,بئر الذهب,Morsott,مرسط
12,Tébessa,1207,Saf Saf El Ouesra,صفصاف الوسرى,Oum Ali,أم علي
12,Tébessa,1216,Guorriguer,قريقر,Bir Mokadem,بئر مقدم
12,Tébessa,1217,Bekkaria,بكارية,El Kouif,الكويف
12,Tébessa,1225,Boulhaf Dyr,بولحاف الدير,El Kouif,الكويف
12,Tébessa,1221,Oum Ali,أم علي,Oum Ali,أم علي
12,Tébessa,1218,Boukhadra,بوخضرة,El Aouinet,العوينات
12,Tébessa,1220,El Malabiod,الماء الابيض,El Malabiod,الماء الابيض
12,Tébessa,1219,Ouenza,الونزة,Ouenza,الونزة
12,Tébessa,1224,El Meridj,المريج,Ouenza,الونزة
12,Tébessa,1223,Ain Zerga,عين الزرقاء,Ouenza,الونزة
12,Tébessa,1204,Stah Guentis,سطح قنطيس,El Ogla,العقلة
12,Tébessa,1213,El Ogla,العقلة,El Ogla,العقلة
12,Tébessa,1227,El Mezeraa,المزرعة,El Ogla,العقلة
12,Tébessa,1226,Bedjene,بجن,El Ogla,العقلة
12,Tébessa,1212,Morsott,مرسط,Morsott,مرسط
12,Tébessa,1222,Telidjen,ثليجان,Cheria,الشريعة
12,Tébessa,1203,Cheria,الشريعة,Cheria,الشريعة
12,Tébessa,1201,Tebessa,تبسة,Tebessa,تبسة
12,Tébessa,1208,Hammamet,الحمامات,Bir Mokadem,بئر مقدم
12,Tébessa,1211,El Kouif,الكويف,El Kouif,الكويف
13,Tlemcen,1318,Bab El Assa,باب العسة,Bab El Assa,باب العسة
13,Tlemcen,1323,Terny Beni Hediel,تيرني بني هديل,Mansourah,منصورة
13,Tlemcen,1351,Mansourah,منصورة,Mansourah,منصورة
13,Tlemcen,1302,Beni Mester,بني مستر,Mansourah,منصورة
13,Tlemcen,1349,Ain Ghoraba,عين غرابة,Mansourah,منصورة
13,Tlemcen,1350,Chetouane,شتوان,Chetouane,شتوان
13,Tlemcen,1314,Amieur,عمير,Chetouane,شتوان
13,Tlemcen,1312,Ain Fezza,عين فزة,Chetouane,شتوان
13,Tlemcen,1344,Honnaine,هنين,Honnaine,هنين
13,Tlemcen,1348,Beni Khellad,بني خلاد,Honnaine,هنين
13,Tlemcen,1340,Nedroma,ندرومة,Nedroma,ندرومة
13,Tlemcen,1330,M'sirda Fouaga,مسيردة الفواقة,Marsa Ben Mehdi,مرسى بن مهيدي
13,Tlemcen,1339,Marsa Ben M'hidi,مرسى بن مهيدي,Marsa Ben Mehdi,مرسى بن مهيدي
13,Tlemcen,1337,Sidi Medjahed,سيدي مجاهد,Beni Boussaid,بني بوسعيد
13,Tlemcen,1338,Beni Boussaid,بني بوسعيد,Beni Boussaid,بني بوسعيد
13,Tlemcen,1347,Bouhlou,بوحلو,Sabra,صبرة
13,Tlemcen,1327,Maghnia,مغنية,Maghnia,مغنية
13,Tlemcen,1328,Hammam Boughrara,حمام بوغرارة,Maghnia,مغنية
13,Tlemcen,1316,Zenata,زناتة,Hennaya,الحناية
13,Tlemcen,1346,Ouled Riyah,أولاد رياح,Hennaya,الحناية
13,Tlemcen,1326,Hennaya,الحناية,Hennaya,الحناية
13,Tlemcen,1334,Sidi Abdelli,سيدي العبدلي,Bensekrane,بن سكران
13,Tlemcen,1333,Souk Tleta,سوق الثلاثاء,Bab El Assa,باب العسة
13,Tlemcen,1324,Bensekrane,بن سكران,Bensekrane,بن سكران
13,Tlemcen,1320,Fellaoucene,فلاوسن,Fellaoucene,فلاوسن
13,Tlemcen,1353,Ain Kebira,عين الكبيرة,Fellaoucene,فلاوسن
13,Tlemcen,1331,Ain Fetah,عين فتاح,Fellaoucene,فلاوسن
13,Tlemcen,1301,Tlemcen,تلمسان,Tlemcen,تلمسان
13,Tlemcen,1325,Ain Nehala,عين النحالة,Ain Tellout,عين تالوت
13,Tlemcen,1303,Ain Tellout,عين تالوت,Ain Tellout,عين تالوت
13,Tlemcen,1315,Ain Youcef,عين يوسف,Remchi,الرمشي
13,Tlemcen,1336,Beni Ouarsous,بني وارسوس,Remchi,الرمشي
13,Tlemcen,1305,El Fehoul,الفحول,Remchi,الرمشي
13,Tlemcen,1304,Remchi,الرمشي,Remchi,الرمشي
13,Tlemcen,1322,Sebbaa Chioukh,سبعة شيوخ,Remchi,الرمشي
13,Tlemcen,1308,Souani,السواني,Bab El Assa,باب العسة
13,Tlemcen,1306,Sabra,صبرة,Sabra,صبرة
13,Tlemcen,1319,Dar Yaghmoracen,دار يغمراسن,Ghazaouet,الغزوات
13,Tlemcen,1307,Ghazaouet,الغزوات,Ghazaouet,الغزوات
13,Tlemcen,1329,Souahlia,السواحلية,Ghazaouet,الغزوات
